"Questão","Item","Dica Geral","Dica Menos Geral","Resolução","Gabarito Final"
"1","a","Lembre-se do que o Teorema Central do Limite (TCL) diz sobre a forma, a média e a variabilidade da distribuição das médias amostrais.","A Lição 20 explica que a distribuição de $\bar{X}$ é aproximadamente Normal. A média dessa distribuição é a mesma da população ($\mu$), e o desvio padrão dela (o $DP_{\bar{X}}$) é o DP da população dividido pela raiz de n.","Conforme o Teorema Central do Limite (Lição 20), com n=36 (que é ≥ 30), a distribuição das médias amostrais ($\bar{X}$) será aproximadamente Normal.<br><br> • **Média da distribuição das médias:**<br>$\mu_{\bar{X}} = \mu = 690$ mg<br><br> • **Desvio Padrão de $\bar{X}$ ($DP_{\bar{X}}$):**<br>$DP_{\bar{X}} = \frac{DP}{\sqrt{n}} = \frac{25}{\sqrt{36}} \approx 4.17$ mg","A distribuição das médias amostrais é aproximadamente Normal com média de 690 mg e $DP_{\bar{X}}$ de 4.17 mg."
"1","b","Use os parâmetros da distribuição Normal que você acabou de encontrar no item (a) para calcular a probabilidade pedida.","Você precisa calcular $P(\bar{X} > 700)$. Utilize a calculadora de probabilidades da Normal com la média 690 e o DP 4.17.","Usando a distribuição das médias amostrais, que é **Normal com média 690 e DP 4.17**, queremos encontrar $P(\bar{X} > 700)$.<br><br>Inserimos esses parâmetros na calculadora de probabilidades, que nos fornece diretamente o resultado.<br><br>A probabilidade é aproximadamente **0.0082**.","A probabilidade de a média de sódio da amostra ser superior a 700 mg é de **0.82%**."
"2","Único","O Erro Padrão é desvio padrão de $\bar{X}$, que mede a variabilidade das médias amostrais. A margem de erro é solicitada diretamente na questão e depende desse valor e da confiança.","Calcule o $DP_{\bar{X}}$ = $\frac{DP}{\sqrt{n}}$. A margem de erro (ME) é o valor que somado (ou subtraído) a média, nos dá o IC superior (ou inferior).","1. **Cálculo do Desvio Padrão de $\bar{X}$ ($DP_{\bar{X}}$):**<br>$DP_{\bar{X}} = \frac{DP}{\sqrt{n}} = \frac{2}{\sqrt{100}} = 0.2$ mg<br><br>2. **Cálculo do IC de 95% na calculadora:**<br>$IC (95\%)$ para $\bar{X} \sim N(251, 0.2^2)$= $[250.61, 251.39]$ <br> equivalentemente, podemos escrever em termos da Margem de Erro: $[251 \pm 0.39]$","Desvio Padrão de $\bar{X}$ = **0.2 mg**.Margem de Erro = **0.392 mg**."
"3","Único","Use a calculadora de Intervalo de Confiança para cada um dos níveis solicitados e compare os resultados.","Você precisará informar à calculadora a média amostral (190), o desvio padrão da média calculado por $\frac{45}{\sqrt{60}} = 5.8$ a cada vez, um nível de confiança diferente (90%, 95%, 99%).","Usamos a calculadora de IC, informando os dados da amostra e variamos apenas o nível de confiança:<br><br> • **Para 90% de confiança:** A calculadora fornece **[180.46, 199.54]**.<br> • **Para 95% de confiança:** A calculadora fornece **[178.63, 201.36]**.<br> • **Para 99% de confiança:** A calculadora fornece **[175.06, 204.94]**.<br><br>**Conclusão:** Quanto maior o nível de confiança, mais largo o intervalo. Isso acontece porque precisamos de uma faixa maior para ter mais certeza de que ela contém a média verdadeira.","**IC 90%:** [180.46, 199.54] - **IC 95%:** [178.63, 201.36] - **IC 99%:** [175.06, 204.94]. Conclui-se que, ao aumentar a confiança, o intervalo de valores plausíveis para a média se torna mais amplo."
"4","a","A hipótese nula ($H_0$) é a ausência de efeito, o ""status quo"". A alternativa ($H_1$) é a afirmação do pesquisador que precisa ser provada.","O personal trainer afirma que a força *aumenta* (média > 80 kg). Essa é a sua $H_1$. A $H_0$ é a negação disso, ou seja, que a força não aumentou.","• **Hipótese Nula ($H_0$):** O programa não aumenta a força média.<br>$H_0: \mu \le 80$ kg<br><br> • **Hipótese Alternativa ($H_1$):** O programa aumenta a força média.<br>$H_1: \mu > 80$ kg","**$H_0: \mu \le 80$ kg** <br> **$H_1: \mu > 80$ kg**"
"4","b","Calcule o p-valor e compare-o com $\alpha$. O p-valor é a probabilidade de obter sua amostra (ou uma mais extrema), se $H_0$ for verdade.","Assuma que $H_0$ é verdade ($\mu=80$). Calcule o $DP_{\bar{X}}$. O p-valor é $P(\bar{X} > 85)$ na distribuição Normal com média 80 e o $DP_{\bar{X}}$ que você calculou. Use a calculadora para isso.","1. **Distribuição sob H₀:** Assumindo $H_0$ verdadeira, a distribuição das médias amostrais é Normal com **média $\mu_0=80$**.<br>2. **Desvio Padrão de $\bar{X}$:** $DP_{\bar{X}} = \frac{DP}{\sqrt{n}} = \frac{10}{\sqrt{35}} \approx 1.69$ kg.<br>3. **Cálculo do p-valor:** O p-valor é a probabilidade $P(\bar{X} > 85)$. Usando a calculadora para a Normal(média=80, DP=1.69), obtemos **p-valor ≈ 0.0015**.<br>4. **Decisão:** Como p-valor (0.0015) < $\alpha$ (0.05), **rejeitamos $H_0$**.","**P-valor ≈ 0.0015**. Como 0.0015 < 0.05, **rejeita-se $H_0$**. Há evidência de que o programa é eficaz."
"5","a","A prefeitura quer saber se o sistema foi eficaz na *redução* do tempo. Essa ideia de ""redução"" define a hipótese alternativa.","A hipótese alternativa ($H_1$) será que a nova média é menor que 25 min ($\mu < 25$). A hipótese nula ($H_0$) é que não houve redução ($\mu \ge 25$).","• **Hipótese Nula ($H_0$):** O sistema não reduziu o tempo médio.<br>$H_0: \mu \ge 25$ minutos<br><br> • **Hipótese Alternativa ($H_1$):** O sistema reduziu o tempo médio.<br>$H_1: \mu < 25$ minutos","**$H_0: \mu \ge 25$** e **$H_1: \mu < 25$ min**"
"5","b","Determine o p-valor para este teste unilateral à esquerda, comparando-o com o nível de significância rigoroso de $\alpha=0.01$.","Assuma $\mu=25$. Calcule o $DP_{\bar{X}}$. O p-valor é a probabilidade de obter uma média de 23.5 ou *menos*, ou seja, $P(\bar{X} < 23.5)$ na distribuição Normal","1. **Distribuição sob H₀:** Normal com **média $\mu_0=25$**.<br>2. **Desvio Padrão de $\bar{X}$:** $DP_{\bar{X}} = \frac{DP}{\sqrt{n}} = \frac{4}{\sqrt{50}} \approx 0.566$ min.<br>3. **Cálculo do p-valor:** Calculamos $P(\bar{X} < 23.5)$ usando a calculadora para a $N(25, 0.566^2)$. Obtemos **p-valor ≈ 0.004**.<br>4. **Decisão:** Como p-valor (0.004) < $\alpha$ (0.01), **rejeitamos $H_0$**.","**P-valor ≈ 0.004**. Como 0.004 < 0.01, **rejeita-se $H_0$**. Isso significa que há forte evidência de que o novo sistema de semáforos é eficaz."
"6","Único","A máquina está ""descalibrada"" se o volume for diferente de 500 ml (para mais *ou* para menos). Isso indica um teste bilateral.","Formule um teste bilateral ($H_1: \mu \neq 500$).","1. **Hipóteses:** $H_0: \mu = 500$; $H_1: \mu \neq 500$.<br>2. **Distribuição sob H₀:** Normal com **média $\mu_0=500$**.<br>3. **Desvio Padrão de $\bar{X}$:** $DP_{\bar{X}} = \frac{DP}{\sqrt{n}} = \frac{5}{\sqrt{40}} \approx 0.791$ ml.<br>4. **Cálculo do p-valor:** resultados mais discrepantes do que o observado, isto é, ou menor que 498,5 ou maior que 501,5 (seu similar discrepante do outro lado da curva). Então o p-valor fica igual a $P(\bar{X}<498.5) + P(\bar{X}>501.5)$. Usando uma calculadora, temos que o **p-valor ≈ 0.0288 + 0.0288 = 0.0574**.<br>5. **Decisão:** Como p-valor (0.0574) > $\alpha$ (0.05), **não rejeitamos $H_0$**.","**P-valor ≈ 0.0574**. Como 0.0574 > 0.05, não se rejeita $H_0$. Não há evidência suficiente para afirmar que a máquina está descalibrada."
"7","a","O pesquisador quer testar se o método A é *superior* ao B. A hipótese alternativa deve refletir essa afirmação de superioridade.","Conforme a Lição 23, ""A é superior a B"" se traduz em $H_1: \mu_A > \mu_B$, que é o mesmo que $H_1: \mu_A - \mu_B > 0$. A hipótese nula é a negação.","• **Hipótese Nula ($H_0$):** O método A não é superior ao B.<br>$H_0: \mu_A - \mu_B \le 0$<br><br> • **Hipótese Alternativa ($H_1$):** O método A é superior ao B.<br>$H_1: \mu_A - \mu_B > 0$","**$H_0: \mu_A - \mu_B \le 0$**  e  **$H_1: \mu_A - \mu_B > 0$**"
